cs_run,exp_id,expname,ref_exp_id,ref_expname,pair_method,cell_id,path_kind,path_start_time,anchor_time,anchor_idx,anchor_total_nf_l,alpha_peak,alpha_peak_intercept,alpha_mean,alpha_mean_intercept
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,1,qi,2023-01-25T12:28:50,2023-01-25T12:30:00,30,33.30409944872255,0.5154132275419117,3.4147966909667966,0.618575408896011,3.191794096091348
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,1,qs,2023-01-25T12:39:10,2023-01-25T12:44:10,30,598.9652035334049,-8.29092622459302e-16,6.153174789909393,0.013503219036333383,6.126048308081725
cs-eriswil__20260121_131528,1,20260121131550,0,20260121131528,same_shape,2,qs,2023-01-25T12:42:00,2023-01-25T12:44:10,13,598.9652035334049,8.792448744890355e-16,6.153174789909394,-0.02860706642795824,6.148156757954376
cs-eriswil__20260121_131528,2,20260121131632,0,20260121131528,single_reference,1,qi,2023-01-25T12:28:50,2023-01-25T12:30:00,30,33.304652242266755,0.5084558095968809,3.4447925305344262,0.6241644060664268,3.196923912286085
cs-eriswil__20260121_131528,2,20260121131632,0,20260121131528,single_reference,1,qs,2023-01-25T12:34:30,2023-01-25T12:39:30,30,50.09313046112026,0.014681511702300155,5.916559179753218,-0.05186353732466991,5.859843272659623
cs-eriswil__20260121_131528,2,20260121131632,0,20260121131528,single_reference,2,qs,2023-01-25T12:40:00,2023-01-25T12:40:00,0,36.01100929080859,0.12409193948584761,5.865870343591985,0.18018765149443008,5.726267161924304
cs-eriswil__20260121_131528,2,20260121131632,0,20260121131528,single_reference,3,qs,2023-01-25T12:52:40,2023-01-25T12:52:40,0,119.76895607934497,-0.49603650820805445,6.25024117577074,-0.42518090524873253,6.182456638498004
cs-eriswil__20260121_131528,2,20260121131632,0,20260121131528,single_reference,4,qs,2023-01-25T12:53:30,2023-01-25T12:53:30,0,98.81534255838781,-0.593196861258908,6.195479233096458,-0.4476066170263127,6.088865758869425
cs-eriswil__20260127_211338,1,20260127211431,0,20260127211338,same_shape,1,qi,2023-01-25T12:28:50,2023-01-25T12:30:00,30,33.30408845719846,0.5154132275419117,3.4147966909667966,0.6186419430037515,3.1916579947934776
cs-eriswil__20260127_211338,1,20260127211431,0,20260127211338,same_shape,1,qs,2023-01-25T12:39:10,2023-01-25T12:44:10,30,591.3722232694704,-7.374920792569807e-16,6.1531747899093965,0.018049306515927385,6.120826251651587
cs-eriswil__20260127_211338,1,20260127211431,0,20260127211338,same_shape,2,qs,2023-01-25T12:42:00,2023-01-25T12:44:10,13,591.3722232694704,8.792448744890355e-16,6.153174789909394,-0.025999431828669647,6.143760368752649
cs-eriswil__20260127_211338,1,20260127211431,0,20260127211338,same_shape,3,qs,2023-01-25T12:43:00,2023-01-25T12:44:10,7,591.3722232694704,-8.29092622459302e-16,6.153174789909393,0.01856299036216536,6.120736101002877
cs-eriswil__20260127_211338,3,20260127211551,2,20260127211516,same_shape,1,qi,2023-01-25T12:28:50,2023-01-25T12:30:00,30,33.304966771664944,0.551329721791252,3.446427357477618,0.6573200577961047,3.2054221976819566
cs-eriswil__20260127_211338,3,20260127211551,2,20260127211516,same_shape,1,qs,2023-01-25T12:36:10,2023-01-25T12:41:10,30,14.22429260975401,-6.526584785023904e-16,5.922125729722748,0.05349180483482853,5.919462185158742
cs-eriswil__20260127_211338,3,20260127211551,2,20260127211516,same_shape,2,qs,2023-01-25T12:36:40,2023-01-25T12:41:10,27,14.22429260975401,-6.526584785023904e-16,5.922125729722748,0.05349180483482853,5.919462185158742
cs-eriswil__20260313_111441,3,20260313111448,2,20260313111446,same_shape,1,nf,2023-01-25T12:28:50,2023-01-25T12:30:00,30,33.346763115144775,0.5185457005666737,3.4500953498908777,0.6241819535820607,3.2153647492520907
cs-eriswil__20260313_111441,3,20260313111448,2,20260313111446,same_shape,2,nf,2023-01-25T12:36:30,2023-01-25T12:36:30,0,60.304718402324305,0.7377351916996494,4.255975923844782,0.7242100745890111,4.234928174443216
cs-eriswil__20260313_111441,3,20260313111448,2,20260313111446,same_shape,3,nf,2023-01-25T12:45:10,2023-01-25T12:45:10,0,30.00595597484441,-0.08049304062413258,5.949274048629494,-0.19037970214423577,5.9814693085876725
