artifact_id,artifact_type,section,script,config_or_args,output_path,caption,draft_target
fig_cloud_field_overview,figure,results,scripts/analysis/forcing/run_cloud_field_overview.py,config/psd_process_evolution.yaml,output/gfx/png/01/cloud_field_overview_mass_profiles_steps_symlog_<exp>_<range>.png,"Cloud-scale context for the ALLBB seeded plume. The upper panels show the topography and the three analysis sites used for the seeding, ice-growth, and downstream-precipitation diagnostics; the lower panels show time-height liquid and frozen water content together with ridge-sampled liquid and ice source-sink tendencies. The figure defines the transition from a liquid-rich source region to the downstream ice-growth and precipitation regime analyzed in the later figures.",manual figure include in article_draft/PolarCAP
fig_plume_lagrangian,figure,results,scripts/analysis/growth/run_plume_lagrangian_evolution_slim.py,"FigCfg in script (DEFAULT_CFG)",output/gfx/png/03/figure12_ensemble_mean_plume_path_slim.png,"Ensemble-mean Lagrangian plume evolution in equivalent-diameter space compared with HOLIMO observations. Colors show the ensemble-mean ice number density per logarithmic diameter interval along the plume; symbols identify the three HOLIMO missions, the lower-left panel zooms the first 15 min after seeding, and the lower-right panel compares time-averaged size spectra. The comparison highlights growth from 1-10 um into 10-50 um and 100-300 um size ranges, while the observational spread remains largest in the coarse-particle tail.",manual figure include in article_draft/PolarCAP
fig_psd_waterfall,figure,results,scripts/analysis/growth/run_psd_waterfall.py,"CLI args for processed root, plot kinds, run labels",output/gfx/png/04/figure13_psd_alt_time_<kind>_<run_id>.png,"Altitude-resolved particle size distribution evolution in successive post-seeding windows for the promoted plume-path runs. Each panel compares liquid and frozen spectra in either number or mass space, making it possible to track where excess ice first appears and how condensate shifts toward larger diameters and lower levels as the plume matures. Together, the number and mass views separate initial crystal production from subsequent growth and fallout.",manual figure include in article_draft/PolarCAP
fig_spectral_waterfall,figure,results,scripts/analysis/growth/run_spectral_waterfall.py,process-budget config + publication wrapper,output/gfx/mp4/05/<cs_run>/... or output/gallery/*.mp4,"Animated ridge-following spectral budget for the seeded plume. Each frame combines the liquid and frozen particle size distributions with diameter-resolved microphysical tendencies at the selected stations, either in number-concentration space (N) or mass-concentration space (Q). The animation separates the processes that first generate excess ice shortly after seeding from those that later grow, redistribute, and remove condensate across the spectrum.",gallery / future manuscript figure
experiment_matrix,table,dataset,scripts/analysis/synthesis/run_paper_tables.py,scripts/analysis/synthesis/paper_tables.yaml,output/tables/paper/tab_experiment_matrix.csv,"COSMO-SPECS experiment subset used for the manuscript synthesis. Rows list flare and reference simulations retained by the registry gate, together with the matched reference experiment and local data availability flags.",article_draft/PolarCAP/tables/tab_experiment_matrix.tex
growth_summary,table,results,scripts/analysis/synthesis/run_paper_tables.py,scripts/analysis/synthesis/paper_tables.yaml,output/tables/paper/tab_growth_summary.csv,Lagrangian growth-regime summary for the manuscript subset. Ridge-growth metrics are combined with promoted PSD statistics to summarize the characteristic size evolution and power-law exponents.,article_draft/PolarCAP/tables/tab_growth_summary.tex
initiation_metrics,table,results,scripts/analysis/synthesis/run_paper_tables.py,scripts/analysis/synthesis/paper_tables.yaml,output/tables/paper/tab_initiation_metrics.csv,Initiation diagnostics for the manuscript experiment subset. Ice-onset timing is summarized across stations relative to the seeding time and is reported together with peak excess ice and excess INP signals.,article_draft/PolarCAP/tables/tab_initiation_metrics.tex
phase_budget_long,table,appendix,scripts/analysis/synthesis/run_paper_tables.py,scripts/analysis/synthesis/paper_tables.yaml,output/tables/paper/tab_phase_budget_long.csv,"Long-form phase-budget table for the promoted cloud-overview case. Net phase-integrated process contributions are listed per station, phase window, reservoir, and process.",article_draft/PolarCAP/tables/tab_phase_budget_long.tex
phase_budget_summary,table,appendix,scripts/analysis/synthesis/run_paper_tables.py,scripts/analysis/synthesis/paper_tables.yaml,output/tables/paper/tab_phase_budget_summary.csv,Compact phase-budget context table accompanying the cloud overview diagnostic. Each row lists the dominant source and sink terms for the selected phase window and station.,article_draft/PolarCAP/tables/tab_phase_budget_summary.tex
process_attribution,table,results,scripts/analysis/synthesis/run_paper_tables.py,scripts/analysis/synthesis/paper_tables.yaml,output/tables/paper/tab_process_attribution.csv,Early-window pilot process-attribution matrix for manuscript-ready runs. The table lists the dominant and runner-up pathways for frozen-number and liquid-number tendencies in the initial post-seeding window.,article_draft/PolarCAP/tables/tab_process_attribution.tex
psd_stats_selected,table,results,scripts/analysis/synthesis/run_paper_tables.py,scripts/analysis/synthesis/paper_tables.yaml,output/tables/paper/tab_psd_stats_selected.csv,"Per-frame plume-path PSD diagnostics for the automatically selected featured run. Time windows report liquid and frozen mean diameters, net tendencies, and the local power-law exponent for ice mean diameter.",article_draft/PolarCAP/tables/tab_psd_stats_selected.tex
